Course Code,Course Name,Department,Credits,Semester,Instructor,Capacity,Enrollment
MATH1030I,Intensive Precalculus,Mathematics,0,Spring 2024,Murphy,86,70
XCOR1000,College Experience,Core Experience,1,Fall 2022,Campbell,61,28
XCOR1000,College Experience,Core Experience,4,Spring 2023,Harris,55,22
XCOR1000,College Experience,Core Experience,2,Fall 2023,Scott,88,94
XCOR1000,College Experience,Core Experience,3,Spring 2024,Hughes,118,90
CPSC2735,Data Structures and Lab,Computer Science,5,Fall 2022,Torres,74,15
CPSC2735,Data Structures and Lab,Computer Science,2,Spring 2023,Green,108,73
CPSC2735,Data Structures and Lab,Computer Science,2,Fall 2023,Alexander,92,44
CPSC2735,Data Structures and Lab,Computer Science,2,Spring 2024,Wright,89,80
ENGL1020,English Composition and Literature,English,5,Fall 2022,Harris,101,66
ENGL1020,English Composition and Literature,English,0,Spring 2023,Walker,103,97
ENGL1020,English Composition and Literature,English,2,Fall 2023,Cook,48,75
ENGL1020,English Composition and Literature,English,0,Spring 2024,Campbell,47,41
MATH1070,Introductory Calculus,Mathematics,0,Fall 2022,White,67,93
MATH1070,Introductory Calculus,Mathematics,2,Spring 2023,Gray,95,81
MATH1070,Introductory Calculus,Mathematics,5,Fall 2023,Bell,97,29
MATH1070,Introductory Calculus,Mathematics,2,Spring 2024,Murphy,44,81
PHIL1040,Happiness and the Meaning of Life,Philosophy,4,Fall 2022,Young,87,36
PHIL1040,Happiness and the Meaning of Life,Philosophy,4,Spring 2023,Hall,100,44
PHIL1040,Happiness and the Meaning of Life,Philosophy,2,Fall 2023,Scott,45,47
PHIL1040,Happiness and the Meaning of Life,Philosophy,1,Spring 2024,Hall,51,18
ART1010,Design I,Art,3,Fall 2022,Taylor,46,60
ART1010,Design I,Art,3,Spring 2023,Williams,30,81
ART1010,Design I,Art,2,Fall 2023,Jackson,34,15
ART1010,Design I,Art,3,Spring 2024,Green,53,54
CPSC2740,Software Development,Computer Science,5,Fall 2022,Nelson,72,86
CPSC2740,Software Development,Computer Science,0,Spring 2023,Edwards,75,13
CPSC2740,Software Development,Computer Science,0,Fall 2023,Campbell,106,93
CPSC2740,Software Development,Computer Science,3,Spring 2024,Young,48,39
MSCM2590,Black Cinema,Media Studies,0,Fall 2022,Torres,80,71
MSCM2590,Black Cinema,Media Studies,5,Spring 2023,Hall,102,14
MSCM2590,Black Cinema,Media Studies,0,Fall 2023,Moore,87,33
MSCM2590,Black Cinema,Media Studies,2,Spring 2024,White,52,51
PHIL2040,Logic,Philosophy,3,Fall 2022,Torres,48,49
PHIL2040,Logic,Philosophy,3,Spring 2023,Moore,53,34
PHIL2040,Logic,Philosophy,0,Fall 2023,Williams,113,55
PHIL2040,Logic,Philosophy,3,Spring 2024,Hughes,103,12
STAT2010,Statistical Methods I,Mathematics,2,Fall 2022,Adams,102,33
STAT2010,Statistical Methods I,Mathematics,2,Spring 2023,Turner,106,73
STAT2010,Statistical Methods I,Mathematics,2,Fall 2023,Roberts,58,68
STAT2010,Statistical Methods I,Mathematics,2,Spring 2024,Davis,93,46
THEO1100,The Christian Faith,Theology,0,Fall 2022,Bell,64,80
THEO1100,The Christian Faith,Theology,1,Spring 2023,Williams,119,62
THEO1100,The Christian Faith,Theology,0,Fall 2023,Baker,30,10
THEO1100,The Christian Faith,Theology,0,Spring 2024,Nelson,102,17
CPSC2120,Computer Organization and Architecture,Computer Science,0,Fall 2022,Johnson,74,68
CPSC2120,Computer Organization and Architecture,Computer Science,1,Spring 2023,King,115,64
CPSC2120,Computer Organization and Architecture,Computer Science,0,Fall 2023,Baker,65,23
CPSC2120,Computer Organization and Architecture,Computer Science,2,Spring 2024,Washington,114,46
CPSC3710,Database Systems,Computer Science,0,Fall 2022,Taylor,35,33
CPSC3710,Database Systems,Computer Science,0,Spring 2023,Baker,76,37
CPSC3710,Database Systems,Computer Science,1,Fall 2023,Murphy,37,16
CPSC3710,Database Systems,Computer Science,4,Spring 2024,Adams,44,51
ENGL3185,Black Hair Narratives,English,1,Fall 2022,Turner,117,46
ENGL3185,Black Hair Narratives,English,2,Spring 2023,Morris,110,65
ENGL3185,Black Hair Narratives,English,3,Fall 2023,Walker,50,54
ENGL3185,Black Hair Narratives,English,4,Spring 2024,Evans,101,74
MATH2030,Elementary Linear Algebra,Mathematics,3,Fall 2022,Turner,74,89
MATH2030,Elementary Linear Algebra,Mathematics,5,Spring 2023,Baker,46,44
MATH2030,Elementary Linear Algebra,Mathematics,1,Fall 2023,Williams,52,18
MATH2030,Elementary Linear Algebra,Mathematics,5,Spring 2024,Roberts,31,68
MSCM2400,Social Media,Media Studies,5,Fall 2022,Morris,109,66
MSCM2400,Social Media,Media Studies,5,Spring 2023,Evans,71,18
MSCM2400,Social Media,Media Studies,2,Fall 2023,Jefferson,53,71
MSCM2400,Social Media,Media Studies,2,Spring 2024,Phillips,106,14
BIOL1030,General Biology (Non-Science Major),Biology,1,Fall 2022,Phillips,108,75
BIOL1030,General Biology (Non-Science Major),Biology,4,Spring 2023,King,37,19
BIOL1030,General Biology (Non-Science Major),Biology,5,Fall 2023,Hughes,74,80
BIOL1030,General Biology (Non-Science Major),Biology,0,Spring 2024,Williams,59,91
BIOL1030L,General Biology Lab (Non-Science Major),Biology,2,Fall 2022,Green,36,58
BIOL1030L,General Biology Lab (Non-Science Major),Biology,3,Spring 2023,Wright,113,30
BIOL1030L,General Biology Lab (Non-Science Major),Biology,3,Fall 2023,Collins,57,77
BIOL1030L,General Biology Lab (Non-Science Major),Biology,3,Spring 2024,Moore,101,98
CPSC3140,Operating Systems,Computer Science,4,Fall 2022,King,113,72
CPSC3140,Operating Systems,Computer Science,1,Spring 2023,Green,101,26
CPSC3140,Operating Systems,Computer Science,4,Fall 2023,Young,97,86
CPSC3140,Operating Systems,Computer Science,3,Spring 2024,Davis,106,35
CPSC3603,Special Topics: Mobile App Development,Computer Science,2,Fall 2022,Evans,107,76
CPSC3603,Special Topics: Mobile App Development,Computer Science,3,Spring 2023,Washington,50,67
CPSC3603,Special Topics: Mobile App Development,Computer Science,2,Fall 2023,Green,116,97
CPSC3603,Special Topics: Mobile App Development,Computer Science,3,Spring 2024,Brooks,62,64
MATH2550,Discrete Structures for Computer Science,Mathematics,4,Fall 2022,Gray,79,67
MATH2550,Discrete Structures for Computer Science,Mathematics,0,Spring 2023,Walker,50,73
MATH2550,Discrete Structures for Computer Science,Mathematics,2,Fall 2023,Torres,39,13
MATH2550,Discrete Structures for Computer Science,Mathematics,5,Spring 2024,Adams,77,91
XCOR3010,"Dystopia, Real and Imagined",Core Experience,2,Fall 2022,Davis,95,57
XCOR3010,"Dystopia, Real and Imagined",Core Experience,4,Spring 2023,Brown,100,17
XCOR3010,"Dystopia, Real and Imagined",Core Experience,0,Fall 2023,Stewart,100,84
XCOR3010,"Dystopia, Real and Imagined",Core Experience,4,Spring 2024,Alexander,103,83
XCOR3020,Afro-Latin America and LA Oral Traditions,Core Experience,3,Fall 2022,Evans,107,24
XCOR3020,Afro-Latin America and LA Oral Traditions,Core Experience,5,Spring 2023,Thomas,59,90
XCOR3020,Afro-Latin America and LA Oral Traditions,Core Experience,2,Fall 2023,Hall,40,15
XCOR3020,Afro-Latin America and LA Oral Traditions,Core Experience,5,Spring 2024,Evans,61,69
CPSC3060,Design and Analysis of Algorithms,Computer Science,0,Fall 2022,Taylor,45,89
CPSC3060,Design and Analysis of Algorithms,Computer Science,3,Spring 2023,Gray,113,81
CPSC3060,Design and Analysis of Algorithms,Computer Science,3,Fall 2023,Torres,79,41
CPSC3060,Design and Analysis of Algorithms,Computer Science,1,Spring 2024,Parker,87,30
CPSC3603,Special Topics: Bioinformatics Computing,Computer Science,4,Fall 2022,Parker,59,13
CPSC3603,Special Topics: Bioinformatics Computing,Computer Science,0,Spring 2023,Turner,59,71
CPSC3603,Special Topics: Bioinformatics Computing,Computer Science,0,Fall 2023,Nelson,30,66
CPSC3603,Special Topics: Bioinformatics Computing,Computer Science,2,Spring 2024,Jefferson,82,48
CPSC4800,Capstone Project I,Computer Science,3,Fall 2022,Young,40,18
CPSC4800,Capstone Project I,Computer Science,5,Spring 2023,Bell,108,15
CPSC4800,Capstone Project I,Computer Science,1,Fall 2023,Stewart,104,96
CPSC4800,Capstone Project I,Computer Science,4,Spring 2024,Carter,117,48
MGMT3160,Project Management,Business,2,Fall 2022,Robinson,66,16
MGMT3160,Project Management,Business,4,Spring 2023,Morris,86,81
MGMT3160,Project Management,Business,4,Fall 2023,Hall,51,90
MGMT3160,Project Management,Business,5,Spring 2024,Turner,88,23
STAT2021,Statistical Methods II,Mathematics,5,Fall 2022,Cook,114,15
STAT2021,Statistical Methods II,Mathematics,4,Spring 2023,Walker,113,27
STAT2021,Statistical Methods II,Mathematics,0,Fall 2023,Cook,74,35
STAT2021,Statistical Methods II,Mathematics,1,Spring 2024,Gray,99,94
CPSC3603,Special Topics: Data Analytics,Computer Science,4,Fall 2022,Taylor,80,56
CPSC3603,Special Topics: Data Analytics,Computer Science,3,Spring 2023,Murphy,72,100
CPSC3603,Special Topics: Data Analytics,Computer Science,2,Fall 2023,Gray,80,57
CPSC3603,Special Topics: Data Analytics,Computer Science,2,Spring 2024,Wright,61,32
CPSC3900,Computer Science Internship I,Computer Science,2,Fall 2022,Jackson,54,56
CPSC3900,Computer Science Internship I,Computer Science,4,Spring 2023,Stewart,98,55
CPSC3900,Computer Science Internship I,Computer Science,2,Fall 2023,Phillips,41,15
CPSC3900,Computer Science Internship I,Computer Science,5,Spring 2024,Phillips,103,23
ENGL4060S,Black Gothic Literature,English,4,Fall 2022,Bell,114,68
ENGL4060S,Black Gothic Literature,English,4,Spring 2023,Thomas,57,64
ENGL4060S,Black Gothic Literature,English,5,Fall 2023,Phillips,110,70
ENGL4060S,Black Gothic Literature,English,2,Spring 2024,Phillips,75,93
SPAN1010,Elementary Spanish,Languages,0,Fall 2022,Jackson,116,29
SPAN1010,Elementary Spanish,Languages,2,Spring 2023,Hall,61,67
SPAN1010,Elementary Spanish,Languages,3,Fall 2023,Thomas,104,74
SPAN1010,Elementary Spanish,Languages,5,Spring 2024,White,81,80
AADS2000,Introduction to African American History and Culture,African American Studies,2,Fall 2022,White,37,53
AADS2000,Introduction to African American History and Culture,African American Studies,3,Spring 2023,Nelson,53,83
AADS2000,Introduction to African American History and Culture,African American Studies,4,Fall 2023,White,66,20
AADS2000,Introduction to African American History and Culture,African American Studies,5,Spring 2024,Morris,58,96
ART2110,History of Art I,Art,4,Fall 2022,Harris,99,59
ART2110,History of Art I,Art,5,Spring 2023,Brooks,34,14
ART2110,History of Art I,Art,0,Fall 2023,Brooks,53,92
ART2110,History of Art I,Art,0,Spring 2024,Parker,30,46
CHIN1010,Elementary Chinese,Languages,5,Fall 2022,Jackson,103,78
CHIN1010,Elementary Chinese,Languages,5,Spring 2023,Robinson,66,82
CHIN1010,Elementary Chinese,Languages,5,Fall 2023,Parker,85,40
CHIN1010,Elementary Chinese,Languages,2,Spring 2024,Davis,64,52
CPSC4805,Capstone Project II,Computer Science,0,Fall 2022,Allen,44,49
CPSC4805,Capstone Project II,Computer Science,2,Spring 2023,Jackson,116,11
CPSC4805,Capstone Project II,Computer Science,4,Fall 2023,Taylor,107,99
CPSC4805,Capstone Project II,Computer Science,1,Spring 2024,Alexander,55,78
CPSC4999,Senior Comprehensives,Computer Science,2,Fall 2022,Campbell,74,99
CPSC4999,Senior Comprehensives,Computer Science,1,Spring 2023,Williams,61,66
CPSC4999,Senior Comprehensives,Computer Science,1,Fall 2023,Phillips,57,53
CPSC4999,Senior Comprehensives,Computer Science,2,Spring 2024,Adams,103,81
CPSC4999P,Senior Comprehensives Programming,Computer Science,1,Fall 2022,Hughes,87,24
CPSC4999P,Senior Comprehensives Programming,Computer Science,3,Spring 2023,Parker,36,70
CPSC4999P,Senior Comprehensives Programming,Computer Science,1,Fall 2023,Carter,119,47
CPSC4999P,Senior Comprehensives Programming,Computer Science,4,Spring 2024,Morris,120,20
XCOR3010,"Race, Culture, and Communication",Core Experience,5,Fall 2022,Brooks,104,29
XCOR3010,"Race, Culture, and Communication",Core Experience,1,Spring 2023,King,95,29
XCOR3010,"Race, Culture, and Communication",Core Experience,0,Fall 2023,Bell,56,16
XCOR3010,"Race, Culture, and Communication",Core Experience,3,Spring 2024,Mitchell,112,98
